,미세먼지_pre,평균상대습도(%)_pre,월합강수량(00~24h만)(mm)_pre,일최다강수량(mm)_pre,15 - 19(남)_pre,80 - 84세(남)_pre,85 - 89세(남)_pre,95 - 99세_pre,80 - 84세(여)_pre,85 - 89세(여)_pre,90 - 94세(여)_pre,95 - 99세(여)_pre,홍역_pre,대표질환감염자수_pre,대표질환감염자수
2045-01-01,41.62449800063523,0.0008262754380858606,0.008544841420801585,0.006365177792631238,-0.013219549403247627,-0.01335971483072683,-0.014090016022404228,-0.014568751965881976,-0.012204598652324566,-0.011960092161433303,-0.01085795752374441,-0.009400280136298941,-0.0004359459077474259,-0.0010386573577709501,409.65272301153664
2046-01-01,41.627840695094505,0.0008284975606827893,0.008476322064675745,0.006305403332263371,-0.013249918154636262,-0.013390425508414253,-0.014121008665520338,-0.01460134784137583,-0.012233808135403743,-0.011988745889957894,-0.010885465195097893,-0.00942536577257208,-0.0005059438573731811,-0.0012549797726956191,409.1389395916602
2047-01-01,41.62799491988557,0.0008391695090115836,0.00871649659003948,0.006523626209258726,-0.013286042510223667,-0.013431306602694787,-0.014166391591435845,-0.014645070856463216,-0.012265184800186138,-0.012018966712243007,-0.0109101911747254,-0.00944461872297378,-0.0005485257219530193,-0.001738545721566842,408.42825080019276
2048-01-01,41.62719603902998,0.0008490996908379483,0.008949133683081145,0.006728871451859186,-0.013291732247474472,-0.013439597849026388,-0.014177416433985152,-0.014653927616715703,-0.01226820973460424,-0.012021611767205495,-0.010909891002646985,-0.009442302498611527,-0.0005363309334160404,-0.0019256369608472435,407.6425230206195
2049-01-01,41.62709171657555,0.0008543124802728869,0.008991724059276285,0.006765288361157307,-0.0132747348730919,-0.013421138070434518,-0.014158102591041138,-0.014634456146428512,-0.012251860373048012,-0.012005780402195784,-0.010895478321645544,-0.009430118116818126,-0.0005059049102743574,-0.0017639764505741617,406.92408504988094
2050-01-01,41.62747014137296,0.0008566676222863945,0.008909503305358113,0.006692509080716835,-0.013260541296560027,-0.013404218284645705,-0.014139063854900616,-0.014616756780247153,-0.01223933954937341,-0.01199391039291843,-0.010886320991505799,-0.009423869413454494,-0.0004983506809230209,-0.001553559196086296,406.2923952062765
2051-01-01,41.627415722588744,0.0008576713099685829,0.008843481541940257,0.006635013450259741,-0.013261290074936455,-0.013403949525567782,-0.014137938075476406,-0.014616666911681592,-0.012240625030977198,-0.011995351890024264,-0.010888753606949103,-0.009427030275115142,-0.0005145668116816604,-0.0015158317553967127,405.6769908342284
2052-01-01,41.62667505938858,0.0008576405472214416,0.00884634085387348,0.006641172240874127,-0.013269672425336748,-0.013413230020075662,-0.014147896738574806,-0.014626510394524464,-0.01224833698723543,-0.01200279813714658,-0.010895322856145528,-0.009432457663641217,-0.0005315844349015886,-0.0016145194150087028,405.02254590548625
2053-01-01,41.62578888706657,0.0008565377437378119,0.008877244926466688,0.006672719588709297,-0.013274160548103944,-0.013418887237349825,-0.014154466642252797,-0.014632428094126251,-0.012252133972370488,-0.012006341808256313,-0.01089779952031232,-0.009433832958743574,-0.0005334490973712414,-0.0016969749116736987,404.33581565322646
2054-01-01,41.625341048357114,0.0008546644628858457,0.00888382668294585,0.0066794211122358504,-0.013271725223627392,-0.013416722585318841,-0.014152454714256371,-0.014630049451753835,-0.012249770876101532,-0.012003963961976685,-0.010895293817355295,-0.009431279479073434,-0.0005245048704442534,-0.001688801529201256,403.65354897809755
2055-01-01,41.62541980559399,0.0008525692942035062,0.008858211984358766,0.006655192147734468,-0.013267359594109088,-0.013411917211841873,-0.014147186107680676,-0.014624885314906688,-0.012245977399156907,-0.01200028629470197,-0.01089216683912271,-0.009428702240833989,-0.000516831755924485,-0.001633252465429419,402.9948189067372
2056-01-01,41.625718374555234,0.000851064977656496,0.008830130082389198,0.006628965505516726,-0.013266000781459536,-0.013410186880658509,-0.014145064227070889,-0.014623009162114967,-0.012245024664280901,-0.011999394239739239,-0.010891681863210989,-0.009428522124753938,-0.0005162010617761337,-0.0016019100943392706,402.3497742280934
2057-01-01,41.625943019888346,0.0008505728728099848,0.008824152640096505,0.006623197052129326,-0.013267790699905982,-0.013412048752946604,-0.014146953720959643,-0.014624969851666836,-0.01224678263021342,-0.01200110811646421,-0.010893300481852636,-0.009429951751523433,-0.0005194011765451978,-0.0016147033688850565,401.7006229266164
2058-01-01,41.62603462079907,0.0008508285790268105,0.008837080404618947,0.006634395541238458,-0.013269839425412905,-0.013414387581329262,-0.014149546369385244,-0.014627443533240025,-0.012248587158719987,-0.012002839609172172,-0.01089470289846696,-0.009431013349786646,-0.0005211874883940815,-0.0016417214001954727,401.0416834629959
2059-01-01,41.62608477942234,0.0008513418270994916,0.008850960426361798,0.006646391604628432,-0.013270200129561746,-0.013414891701278964,-0.014150202895385752,-0.014627976651152105,-0.012248798216623058,-0.01200302773029234,-0.010894718042768939,-0.00943090757534687,-0.0005201363177169682,-0.0016519152369213197,400.3797434803409
2060-01-01,41.62615653172664,0.0008518381376071554,0.008855404375440079,0.006650007387178025,-0.013269311461754668,-0.013413908509017886,-0.01414917433875651,-0.014626946719029699,-0.012247929701922913,-0.012002191174989865,-0.010893955582169768,-0.009430274854390616,-0.0005184229233016757,-0.0016430359516947102,399.7224452976133
